work_0,idle0,heavy_0,work_1,idle1,heavy_1,work_2,idle2,heavy_2,work_3,idle3,heavy_3,chunktime, total_idle, total_heavy
0.0014082,0.00014629995,781,0.0013624,0.00019209995,757,0.0013341,0.00022039993,753,0.0013225,0.00023200002,376,0.0015545,0.00079079985,2667
0.0014035,0.00014390005,779,0.0013562,0.00019120006,780,0.0013291,0.00021830003,733,0.0013164,0.00023100001,375,0.0015474,0.00078440015,2667
0.0014096,0.00015059998,815,0.001361,0.0001992,743,0.0013329,0.00022729998,755,0.0013207,0.00023949996,354,0.0015602,0.00081659993,2667
0.0014126,0.00016139995,833,0.0013642,0.00020979997,717,0.0013375,0.00023649994,740,0.0013099,0.00026410003,377,0.001574,0.0008717999,2667
0.0014019,0.00016599998,793,0.0013483,0.00021959993,748,0.0013495,0.00021839992,751,0.001305,0.0002628999,375,0.0015679,0.00086689973,2667
0.0014069,8.919998e-05,771,0.0013596,0.00013649999,775,0.0013328,0.00016329996,750,0.0012991,0.00019699999,371,0.0014961,0.0005859999,2667
0.0014137,9.549991e-05,776,0.0013595,0.00014969998,734,0.0013605,0.00014869997,792,0.0013376,0.00017159991,365,0.0015092,0.00056549977,2667
0.0012421,0.000137,606,0.0012746,0.00010449998,744,0.0012727,0.000106399995,721,0.0012415,0.0001376,596,0.0013791,0.00048549997,2667
0.0013817,0.00013559998,783,0.0013343,0.000183,745,0.0013188,0.0001985,760,0.0013114,0.00020590005,379,0.0015173,0.00072300003,2667
0.0014831,0.000120299985,824,0.0014822,0.00012119999,832,0.0014503,0.0001531,504,0.0014495,0.00015390001,507,0.0016034,0.0005485,2667
0.001512,0.00011999998,869,0.0015119,0.00012009998,840,0.0014366,0.00019539997,457,0.0014911,0.00014090003,501,0.001632,0.00057639997,2667
0.0014961,0.00012980006,840,0.0014961,0.00012980006,816,0.0014907,0.0001352001,492,0.0014854,0.00014050002,519,0.0016259,0.00053530023,2667
0.001464,0.00018560002,831,0.0014458,0.00020380004,808,0.0014408,0.00020879996,572,0.0014398,0.00020979997,456,0.0016496,0.000808,2667
0.001398,0.00014659995,778,0.0013497,0.00019489997,783,0.0013207,0.00022389996,735,0.0013073,0.00023730006,371,0.0015446,0.00080269994,2667
0.0013968,0.00014959997,783,0.0013511,0.00019529997,771,0.0013224,0.00022399996,748,0.0013087,0.00023770006,365,0.0015464,0.0008066,2667
0.0014036,6.420002e-05,788,0.0013572,0.00011060003,762,0.0013299,0.0001379,757,0.0013173,0.00015049998,360,0.0014678,0.00046320003,2667
0.0013954,6.12e-05,797,0.0013314,0.00012520002,742,0.0013315,0.00012510002,737,0.0013268,0.00012980006,391,0.0014566,0.0004413001,2667
0.0014289,8.639996e-05,776,0.0013838,0.00013150007,771,0.0013536,0.00016170007,787,0.0012643,0.00025100005,333,0.0015153,0.00063060015,2667
0.0014183,6.7100045e-05,788,0.0013638,0.000121599995,765,0.0013644,0.00012099999,752,0.0013187,0.00016669999,362,0.0014854,0.00047640002,2667
0.0014947,0.00015049998,815,0.0014497,0.00019549998,797,0.0014063,0.00023889996,601,0.0014175,0.00022769999,454,0.0016452,0.0008125999,2667
0.001431,0.00015680003,776,0.0013851,0.00020270003,763,0.0013598,0.00022799999,746,0.0013354,0.00025239994,382,0.0015878,0.0008399,2667
0.0014304,0.00014960009,789,0.001384,0.0001960001,758,0.0013569,0.00022310007,740,0.0013453,0.00023470004,380,0.00158,0.0008034003,2667
0.0014319,0.00014500006,783,0.001385,0.00019190006,757,0.0013555,0.00022140006,745,0.0013451,0.00023180002,382,0.0015769,0.0007901002,2667
0.0014373,0.00015600002,800,0.0013897,0.00020360004,764,0.0013575,0.00023580005,735,0.0013457,0.00024760002,368,0.0015933,0.00084300013,2667
0.0014264,0.00014539994,745,0.0013803,0.00019149994,792,0.0013534,0.00021840003,743,0.0013415,0.00023030001,387,0.0015718,0.0007855999,2667
0.0012909,0.00016699999,618,0.0012897,0.0001682,688,0.0012916,0.00016629999,642,0.0012811,0.00017680007,719,0.0014579,0.00067830004,2667
0.0014406,0.00010970002,768,0.0013935,0.00015680003,767,0.0013666,0.0001837,765,0.0012764,0.0002739,367,0.0015503,0.00072410004,2667
0.0014113,0.00016009994,799,0.0013662,0.00020519993,752,0.001335,0.00023639994,735,0.0013202,0.00025119993,381,0.0015714,0.00085289974,2667
0.0014113,0.000102599966,780,0.0013652,0.00014869997,781,0.001335,0.00017889997,749,0.0013207,0.00019319996,357,0.0015139,0.00062339986,2667
0.0015431,7.890002e-05,864,0.0014735,0.00014849997,796,0.0014598,0.00016219995,460,0.0014606,0.00016140006,547,0.001622,0.000551,2667
0.0014504,6.860006e-05,803,0.0014004,0.00011860009,773,0.0013625,0.00015650003,383,0.0013642,0.00015480001,708,0.001519,0.0004985002,2667
0.0014278,0.000121699995,765,0.0013743,0.00017520005,773,0.0013723,0.00017720007,752,0.0013308,0.00021870004,377,0.0015495,0.00069280015,2667
0.0014098,0.00011349993,785,0.001346,0.00017729995,746,0.0014018,0.000121499994,741,0.0013329,0.00019039994,395,0.0015233,0.0006026998,2667
0.001413,7.1999966e-05,790,0.0013649,0.00012009998,724,0.001406,7.900002e-05,783,0.0013196,0.00016539998,370,0.001485,0.00043649995,2667
0.0014586,0.00011429994,796,0.001391,0.00018189999,756,0.0014524,0.000120499986,667,0.0013788,0.00019409996,448,0.0015729,0.0006107999,2667
