work_0,idle0,heavy_0,work_1,idle1,heavy_1,work_2,idle2,heavy_2,work_3,idle3,heavy_3,chunktime, total_idle, total_heavy
0.0032399,5.439995e-05,2667,0.000391,0.0029033,0,0.0005435,0.0027508,0,0.0003607,0.0029336,0,0.0032943,0.0086421,2667
0.0031836,0.000121299876,2667,0.0003831,0.0029218,0,0.0005556,0.0027492999,0,0.0003761,0.0029288,0,0.0033049,0.0087212,2667
0.0033182,0.0001492002,2667,0.0003615,0.0031059,0,0.0005396,0.0029278002,0,0.0003723,0.0030951002,0,0.0034674,0.009278001,2667
0.0032499,0.00012079999,2667,0.0003684,0.0030023,0,0.0005774,0.0027933,0,0.0003646,0.0030061,0,0.0033707,0.0089225,2667
0.0031516,0.00012680003,2667,0.0003625,0.0029159,0,0.0005726,0.0027058,0,0.0003625,0.0029159,0,0.0032784,0.0086644,2667
0.0032596,5.560019e-05,2667,0.0003643,0.0029509,0,0.0005756,0.0027396001,0,0.0003638,0.0029514001,0,0.0033152,0.0086975,2667
0.0031576,9.22e-05,2667,0.000369,0.0028808,0,0.0005601,0.0026897,0,0.0003793,0.0028705,0,0.0032498,0.0085332,2667
0.0031313,9.190012e-05,2667,0.0003584,0.0028648002,0,0.0005516,0.0026716,0,0.0003678,0.0028554,0,0.0032232,0.0084837,2667
0.0031269,5.2700052e-05,2667,0.000371,0.0028086,0,0.000567,0.0026126,0,0.0003595,0.0028201,0,0.0031796,0.008294,2667
0.0031463,4.77999e-05,2667,0.000358,0.0028361,0,0.0005645,0.0026296,0,0.0003722,0.0028219,0,0.0031941,0.0083354,2667
0.0033287,2.489984e-05,2667,0.0003924,0.0029612,0,0.0005658,0.0027878,0,0.0003588,0.0029948,0,0.0033536,0.0087687,2667
0.0032469,0.00010660011,2667,0.0003641,0.0029894,0,0.0005453,0.0028082,0,0.0003682,0.0029853,0,0.0033535,0.0088895,2667
0.0031464,5.0700037e-05,2667,0.0003656,0.0028315,0,0.0005584,0.0026387,0,0.0003729,0.0028242,0,0.0031971,0.0083451,2667
0.0031352,4.520011e-05,2667,0.0003721,0.0028083,0,0.0005882,0.0025922,0,0.0003879,0.0027925,0,0.0031804,0.0082382,2667
